I.D.,address,flock_size,no_of_shed,age_days,mortality_pattern,total_mortality,farm_type,origin_of_chicks,origin_of_feed,vaccination_history,previous_outbreak_of_AI,water_source,flooring,age_of_farms,distance_from_main_road,apron,boot,vehicles ,water_bath,visitors,self_senitization,animal_and_birds,rodents,litter_dispose,dead_bird_disposal,nearby_farm_distance,nearby_farm_type,fencing,culling_during_sick,fumigation_of_farm,batch_interval,daignosis,sub_type,aiv_status
C34,Lalitpur,2500,1,31,,220,1,Champapuran,Champapuran,1,2,2,2,1 Month,3,2,1,2,2,2,1,1,1,2,1,0.3,5 (Giriraj),2,1,2,1 Month,,negative,control
C35,"Balyan, Kathmandu",2200,1,3,,31,1,Trishuli,Valley,1,2,1,1,5 Years,0.02,2,1,2,2,2,2,2,1,3,2,0.2,1,1,1,1,1 Month,,negative,control
C36,Kathmandu,1000,1,29,,100,1,Dhaneshwari,Poshak,1,2,1,2,1 Month,4,2,1,1,2,1,1,1,1,2,1,0.2,1,2,1,2, 1 Month,,negative,control
C37,"Jhor, Kathmandu",1500,1,28,,180,1,Bhaktapur,Phuyal,1,2,2,1,7 Years,0.01,1,1,2,1,2,1,1,1,3,1,0.07,2,1,1,1,1 Month,,negative,control
C38,Bhaktapur,12000,4,56,,1000,2,Balaju,New Hope,1,2,1,1,3 Years,2,1,1,1,2,2,1,1,1,3,1,0.02,1,1,1,2,3 Months,,negative,control
C39,"Harisiddhi, Lalitpur",600,2,365,,100,5 (Local),Self,Quality,1,2,2,2,4 Years,0.3,2,2,2,2,1,1,1,1,2,1,0.01,5,1,1,1,5 Days,,negative,control
C40,"Gagalfedi, Kathmandu",1000,1,13,,50,1,Daunne,Poshak,1,2,1,2,15 Days,0.01,2,1,1,2,2,1,1,2,1,1,0.05,1,2,2,2,1 Month,,negative,control
C41,"Baneshwor, Kathmandu",200,1,65,,6,4,Kathmandu,Balaju,1,2,1,1,2 Months,0.05,2,2,1,2,1,2,1,1,1,1,0.01,4,1,1,2,1 Month,,negative,control
C42,"Kirtipur, Kathmandu",3500,2,210,,400,2,Poshak,Poshak,1,2,1,1,8 Months,0.1,1,1,1,2,1,1,1,1,2,1,0.1,2,1,1,1,1 Month,,negative,control
C43,"Jhor, Kathmandu",2000,1,29,,400,1,Valley,Siddhartha,1,2,4,2,1 Year,0.05,2,1,2,2,1,1,1,1,1,1,0.2,1,2,2,2,1 Month,,negative,control
C44,"Arubari, Kathmandu",1700,1,10,,2,1,Shankarapur,Valley,1,2,1,2,17 Years,0.01,2,1,1,2,1,2,1,1,2,3,0.1,1,2,1,2,1 Month,,negative,control
C45,"Narayanthan, Kathmandu",300,1,125,,240,(5) Kroiler,Balaju,Hattigauda,1,2,1,2,3 Years,1,2,2,2,2,2,2,1,1,2,1,0.1,5 (Kroiler),2,2,2,2 Months,,negative,control
C46,Chandragiri Kathmandu,1000,1,4,,170,1,Bagmati,Poshak,1,2,3,2,1 Year,0.09,2,1,2,2,2,1,1,1,1,2,1.5,1,2,1,2,1 Month,,negative,control
C47,"Kirtipur, Kathmandu",2000,1,188,,325,2,Lalitpur,Poshak,1,2,1,1,10 Years,0.01,1,1,1,2,2,1,2,1,3,1,0.015,2,1,2,2,6 Months,,negative,control
C48,Bhaktapur,1000,1,35,,150,1,Aashapuri,Kantipur,1,2,2,2,30 Years,0.2,2,1,1,2,2,1,1,1,3,1,0.5,1,1,2,2,1 Month,,negative,control
C49,"Thankot, Kathmandu",1200,1,420,,2,2,Loman,Ganesh,1,2,1,1,2 Years,0.5,1,1,2,2,2,1,1,1,3,1,2,1,2,1,2,1 Year,,negative,control
C50,"Taudaha, Kathmandu",920,1,4,,33,1,RKB,Valley,1,2,4,2,6 Months,0.25,2,1,1,2,2,1,2,1,1,4 (Throw),0.5,1,1,1,2,8 Months,,negative,control
